config,client,run_number,run_id,wh_winner,wh_bid_delta,wh_south_score,wh_central_score,wh_north_score,est_winner,est_bid_delta,cost_score,speed_score
C1,freshco,8,bf08cacf-3b5c-4a85-8315-289c66459aa2,warehouse-south,0.1438,0.6252,0.3424,0.3439,cost-estimator,0.2285,0.6374,0.3578
C1,freshco,9,145a9683-2ece-40f9-9fb1-69184146a891,warehouse-south,0.2617,0.6127,0.3487,0.3666,cost-estimator,0.3746,0.6551,0.3668
C1,freshco,10,43590faa-8429-475b-b86e-25aa83a1cfb9,warehouse-south,0.2163,0.6229,0.4884,0.5277,cost-estimator,0.3225,0.6143,0.3266
C1,techparts,6,d1e6dca6-2fe4-4040-89b1-46d12e4e3cdd,warehouse-central,0.2619,0.3558,0.6306,0.3508,cost-estimator,0.2761,0.6607,0.335
C1,techparts,7,68381513-2172-4d2e-b81c-a3910f812f5b,warehouse-central,0.2597,0.3382,0.6187,0.3509,cost-estimator,0.2751,0.6105,0.3664
C1,techparts,8,e9d57680-52bf-4623-82f7-27d0c00f73f4,warehouse-central,0.2613,0.3265,0.6327,0.3658,cost-estimator,0.2759,0.635,0.3469
C1,techparts,9,f7262455-55e1-4c19-b278-815950d06264,warehouse-central,0.2619,0.3818,0.6048,0.3649,cost-estimator,0.2751,0.6323,0.3606
C1,techparts,10,34835543-734b-439f-a220-d87ae1154b1b,warehouse-central,0.2642,0.3885,0.6345,0.3383,cost-estimator,0.2747,0.6323,0.3497
C1,greenleaf,6,210f04d6-a3f9-4ccf-a304-3fbd2f588be6,warehouse-central,0.2654,0.3313,0.6046,0.3519,speed-estimator,0.2753,0.3423,0.6238
C1,greenleaf,7,911f843a-6b79-45d7-8d3c-a165b87e6202,warehouse-central,0.2639,0.3331,0.6045,0.3612,speed-estimator,0.2737,0.3343,0.6118
C1,greenleaf,8,cb724aed-e65d-46d5-b626-26c988c94222,warehouse-central,0.2617,0.3841,0.6085,0.3553,speed-estimator,0.2734,0.3597,0.6177
C1,greenleaf,9,edce9fa5-1695-401d-be9f-4c5d56c9727a,warehouse-central,0.2619,0.3667,0.6407,0.3415,speed-estimator,0.2739,0.3695,0.6251
C1,greenleaf,10,0148c946-8be1-4086-a7c1-a233b4897bf9,warehouse-central,0.2608,0.3902,0.6205,0.3748,speed-estimator,0.2746,0.3354,0.6211
C1,quickship,5,8182f313-2422-45fd-9b0f-1a9f6997024e,warehouse-south,0.2753,0.6275,0.3554,0.3341,cost-estimator,0.2752,0.627,0.3393
