config,client,run_number,run_id,phi_south,phi_central,phi_north
C5,quickship,1,5e1cd922-3e0a-4f23-90c2-689f5068d914,1,0,0
C5,quickship,2,fe8fb104-eeb9-45b0-bcf0-296440f0e3d4,1,0,0
C5,quickship,3,1e0ed98f-29a4-45c8-87c3-a34d35dbdcaf,1,0,0
C5,quickship,4,efe61da5-e6a5-4d6e-8081-c11a1044b29c,1,0,0
C5,quickship,5,657fe15a-549e-4f01-9774-b536d695de1f,1,0,0
C5,nordicsteel,1,6b24d186-f3f8-4771-a0a9-0977ab063384,0,0,1
C5,nordicsteel,2,e8550322-fd22-4411-8d99-1fbe01345bd7,0,1,1
C5,nordicsteel,3,e15b0b02-c4ce-4ab8-8588-9324bdeff408,0,0,1
C5,nordicsteel,4,dac8c4a4-3296-4be3-bb8d-53c59de99c1b,0,0,1
C5,nordicsteel,5,b9298978-32a7-4679-9bd0-fe67534e67e2,0,0,1
C6,freshco,1,1a58e0f9-3b8a-4d82-9fc5-30bcc07b0a82,1,0,0
C6,freshco,2,2eae3393-dcc0-487c-bcfb-e17ef004d22e,1,0,0
C6,freshco,3,a3f46258-1685-4f90-be1f-bfcbc761f64b,1,0,0
C6,freshco,4,a089dfe5-9459-470e-8411-ae77b3e93d1a,1,0,0
C6,freshco,5,5e5eedf8-196c-4b44-89c1-6cd79b44ca38,1,0,0
C6,techparts,1,aca1d439-604b-4ef4-942e-58257c20244b,0,1,0
C6,techparts,2,cdefe8ee-c42c-466d-b215-213e4c4b9144,1,1,1
C6,techparts,3,d9c95a2e-7355-4a4f-9018-64757bf3f99c,0,1,0
C6,techparts,4,69661dcf-fff3-4974-a278-3255222b1fab,0,1,0
C6,techparts,5,bdc867c3-1343-4cc4-a249-e31fe243ffbe,0,1,0
C6,greenleaf,1,368506aa-6fe2-41fc-9446-a62fbc50b37d,0,1,0
C6,greenleaf,2,70184644-3ecf-4902-8dda-6e321a022244,0,1,0
C6,greenleaf,3,8a180dcb-2b6a-46bb-baef-84cc0c5fbcd2,0,1,0
C6,greenleaf,4,c7152197-e22d-4d36-9a53-2b2c273c87d0,1,1,0
C6,greenleaf,5,c4ba4163-3697-4ffc-a4b6-7d23a5b6923f,0,1,0
C6,quickship,1,91c80af9-06ed-4a56-8a18-d3eefc81710a,1,0,0
C6,quickship,2,cd10fd3b-3479-467e-9fa5-5c1a6d0492df,1,0,0
C6,quickship,3,8ba15b29-f0c6-4312-8763-e1e46ec77422,1,0,0
C6,quickship,4,1867f3fd-5e0f-4c6b-a44b-e41ef70d18d7,1,0,0
C6,quickship,5,67bf98ae-6345-4173-827c-0fda40dac821,1,0,0
C6,nordicsteel,1,052c2e95-8643-4a98-8b6d-7e01993ab48b,0,0,1
C6,nordicsteel,2,b8ce7b48-a4d2-43f6-b591-7e1af8c9f963,0,0,1
C6,nordicsteel,3,cc870127-d3b8-42a7-bb28-bfff23447ea6,0,0,1
C6,nordicsteel,4,31964f6a-6a85-491a-8d1d-d0d793e3a331,0,0,1
C6,nordicsteel,5,46c3ce24-6b00-4101-ab72-b73fb95f693d,0,0,1
C7,freshco,1,281fd839-ba1f-437b-b425-6a7328fb4ac0,0,0,0
C7,freshco,2,e8ce0cd9-48e1-4551-85cd-fed2dca5d0bb,0,0,0
C7,freshco,3,61cfb6ed-cb07-435d-9378-0bc35322dc37,0,0,0
C7,freshco,4,56d94dd9-0223-43ab-91c8-73c17fc4e407,0,0,0
C7,freshco,5,78e1724c-9899-4972-8ed3-3c0cb2e19317,0,0,0
C7,techparts,1,427a7479-bed5-49bb-9430-a80f26136d93,0,0,0
C7,techparts,2,6423542a-28f9-4d59-8501-98be1c2ddebb,0,0,0
C7,techparts,3,da8ff53c-7227-4faf-a148-cf932c257d57,0,0,0
C7,techparts,4,f61dda4c-a5ec-4e8f-8e9a-551d97253a92,0,0,0
C7,techparts,5,fec5d234-54f5-4fa6-a3f4-1869fc0689f6,0,0,0
C7,greenleaf,1,95096b69-0a8d-471f-8bee-a301a629ccf8,0,0,0
C7,greenleaf,2,186cb5a0-2c1d-4546-8f7d-946e8c7a5405,0,0,0
C7,greenleaf,3,0c4a9072-14e5-4574-a15a-3a78010c09e9,0,0,0
C7,greenleaf,4,fb985e84-015e-40e8-aeaf-25ee3c9b4a93,0,0,0
C7,greenleaf,5,55d6a87f-5b97-49f9-bac2-5e6d63785fe6,0,0,0
C7,quickship,1,f881bf34-a8d7-4eab-a7ea-f07f72396818,0,0,0
C7,quickship,2,53c2b361-ffda-4414-9bda-e16cf0e72874,0,0,0
C7,quickship,3,65f819c7-c2a9-4893-b82e-a92019a0a69f,0,0,0
C7,quickship,4,456674a9-7722-48a4-88fd-7dd1a40cbd9a,0,0,0
C7,quickship,5,487a8ffb-6611-4292-b4df-4c0d7ccac95b,0,0,0
C7,nordicsteel,1,c3e31202-be12-4ec2-8606-9f022d5ef5b2,0,0,0
C7,nordicsteel,2,0e204a56-ed8a-459b-a0e3-5008f05354ec,0,0,0
C7,nordicsteel,3,b0e57b4e-2dd6-49b5-a713-bbbab4235e3c,0,0,0
C7,nordicsteel,4,4ee03599-ded8-40f7-8f13-39d773b772a0,0,0,0
C7,nordicsteel,5,079aad3e-384c-418e-8375-6092dabedc57,0,0,0
C0,freshco,6,3cd44175-eb89-4830-a63b-fce4a5ade64c,1.0,0,0
C0,freshco,7,52f8ef7a-4e1e-4e1c-9f91-843a63f475d7,1.0,0,0
C0,freshco,8,33bb3da4-8e97-4dfc-b44b-ffd5f02ae1c5,1.0,0,0.11
C0,freshco,9,0b454a79-c81f-49ad-8b7c-ef6da1d19342,1.0,0,0
C0,freshco,10,6d66a0fb-2940-4a76-a6d1-ea52ce6ceee1,0.98,0,0.23
C0,techparts,3,ebf9451b-6e41-4ac9-9e59-4c6a9c8e9ceb,0,0.98,0.87
C0,techparts,6,ad1ed33f-7b75-40d6-931c-cfd2aa4b7996,0,0.97,0
C0,techparts,7,fd10fe92-cda3-411c-ba3d-015dd0cdaa06,0,0.95,0
C0,techparts,8,cd590055-58d4-4739-8890-0642e2d68d1c,0,0.94,0
C0,techparts,9,e0fa5139-7459-401a-8969-2527acd1b121,0,0,0
C0,techparts,10,103580e6-8577-4c58-a146-a1a4259fa903,0,1.0,0.79
C0,greenleaf,6,fe63a2c3-0084-4443-aeb7-ce1674b73d0f,0,0.98,0
C0,greenleaf,7,1b85782d-70c5-4403-af2a-7eb7f5c7ec43,0,0.97,0
C0,greenleaf,8,0743d64f-3123-4493-afe1-e82f45b57172,0,1.0,0
C0,greenleaf,9,fb5d27c2-1674-46a2-b52b-9d6ef2097460,0,0.95,0
C0,greenleaf,10,0daece8b-ff2e-4e98-a45b-92973f865cc9,0,1.0,1.0
C0,quickship,6,7f038fe6-f035-492d-ab90-0a27f921dc17,1.0,0,0
C0,quickship,7,1cc002da-914d-487c-af69-d74e44eef5ae,0.99,0,0
C0,quickship,8,f5b71d10-b3c4-42bf-8ad4-fa3611dcc0d0,0.94,0,0
C0,quickship,9,24c9325b-0c45-45d1-8357-8427893284f0,0.91,0,0
C0,quickship,10,3fb28964-988b-404b-b2f7-7455f2de444d,0.99,0,0
C0,nordicsteel,6,c4647d22-b142-4a10-953a-5636e3d659a6,0,0,0.98
C0,nordicsteel,7,95de013c-fb10-4da7-8e6b-4d1a5886bbff,0,0.95,1.0
C0,nordicsteel,8,4b137042-049b-4d5c-ad8b-d85e4686a080,0,0,0.97
C0,nordicsteel,9,0822c7a8-783c-4e0a-9674-16b9dedb46bb,0,0,0.99
C0,nordicsteel,10,08b68f0a-e1e0-4722-b373-d4f58505ca99,0,0,0.98
C1,freshco,6,b6033604-b9dc-4777-8656-a2c952d930ad,0,0,0
C1,freshco,7,dbb2bef9-37f1-48bc-84b0-0a6cf086f1cd,0,0,0
C1,freshco,8,bf08cacf-3b5c-4a85-8315-289c66459aa2,0,0,0
C1,freshco,9,145a9683-2ece-40f9-9fb1-69184146a891,0,0,0
C1,freshco,10,43590faa-8429-475b-b86e-25aa83a1cfb9,0,0,0
C1,techparts,6,d1e6dca6-2fe4-4040-89b1-46d12e4e3cdd,0,0,0
C1,techparts,7,68381513-2172-4d2e-b81c-a3910f812f5b,0,0,0
C1,techparts,8,e9d57680-52bf-4623-82f7-27d0c00f73f4,0,0,0
C1,techparts,9,f7262455-55e1-4c19-b278-815950d06264,0,0,0
C1,techparts,10,34835543-734b-439f-a220-d87ae1154b1b,0,0,0
C1,greenleaf,6,210f04d6-a3f9-4ccf-a304-3fbd2f588be6,0,0,0
C1,greenleaf,7,911f843a-6b79-45d7-8d3c-a165b87e6202,0,0,0
C1,greenleaf,8,cb724aed-e65d-46d5-b626-26c988c94222,0,0,0
C1,greenleaf,9,edce9fa5-1695-401d-be9f-4c5d56c9727a,0,0,0
C1,greenleaf,10,0148c946-8be1-4086-a7c1-a233b4897bf9,0,0,0
C1,quickship,5,8182f313-2422-45fd-9b0f-1a9f6997024e,0,0,0
C1,quickship,6,192695b7-a2b8-4918-8db8-162e99edfaeb,0,0,0
C1,quickship,7,73025af9-d4fc-4716-8862-0c0531ae3c1f,0,0,0
C1,quickship,8,ad826e7e-fb6f-40ba-9e78-c8dbef84c256,0,0,0
C1,quickship,9,7f826b5e-f2d3-4c48-8eaf-7c13024081c7,0,0,0
