config,client,run_number,assignment_accuracy,warehouse_correct,estimator_correct,latency_seconds
C0,techparts,1,0.0,False,False,328.1
C0,techparts,1,0.5,False,True,348.2
C0,techparts,2,1.0,True,True,159.1
C0,techparts,2,0.5,False,True,234.8
C0,techparts,2,1.0,True,True,413.7
C0,techparts,3,1.0,True,True,122.2
C0,techparts,3,0.0,False,False,60
C0,techparts,4,1.0,True,True,395.8
C0,techparts,4,0.5,False,True,345.8
C0,techparts,5,1.0,True,True,189.0
C0,techparts,5,1.0,True,True,76.5
C0,techparts,6,1.0,True,True,179.8
C0,techparts,6,0.5,True,False,223.2
C0,techparts,7,1.0,True,True,103.8
C0,techparts,7,0.0,False,False,226.8
C0,techparts,8,1.0,True,True,231.7
C0,techparts,8,0.5,False,True,89.4
C0,techparts,9,1.0,True,True,238.8
C0,techparts,9,0.5,True,False,192.4
C0,techparts,10,1.0,True,True,190.9
C0,techparts,10,0.5,False,True,455.3
C0,techparts,11,1.0,True,True,345.5
C0,techparts,12,1.0,True,True,208.5
C0,techparts,13,1.0,True,True,269.8
C0,techparts,14,1.0,True,True,60
C0,techparts,15,1.0,True,True,226.5
C0,techparts,16,1.0,True,True,308.6
C0,techparts,17,1.0,True,True,214.6
C0,techparts,18,1.0,True,True,172.6
C0,techparts,19,1.0,True,True,369.0
C0,techparts,20,1.0,True,True,227.6
C0,techparts,21,1.0,True,True,316.8
C0,techparts,22,1.0,True,True,304.8
C0,techparts,23,1.0,True,True,380.0
C0,techparts,24,1.0,True,True,120.1
C0,techparts,25,1.0,True,True,194.5
C0,techparts,26,1.0,True,True,588.3
C0,techparts,27,1.0,True,True,277.9
C0,techparts,28,1.0,True,True,203.7
C0,techparts,29,1.0,True,True,60
C0,techparts,30,1.0,True,True,347.8
C1,freshco,1,1.0,True,True,180.1
C1,freshco,1,0.5,False,True,210.8
C1,freshco,1,1.0,True,True,319.6
C1,freshco,2,1.0,True,True,198.5
C1,freshco,2,0.0,False,False,211.0
C1,freshco,2,0.5,False,True,270.5
C1,freshco,3,1.0,True,True,231.2
C1,freshco,3,1.0,True,True,205.9
C1,freshco,4,1.0,True,True,207.0
C1,freshco,4,0.5,True,False,170.0
C1,freshco,5,1.0,True,True,170.6
C1,freshco,5,0.5,True,False,224.4
C1,freshco,6,1.0,True,True,162.7
C1,freshco,6,0.5,False,True,199.0
C1,freshco,7,1.0,True,True,212.4
C1,freshco,7,0.0,False,False,198.2
C1,freshco,8,1.0,True,True,202.6
C1,freshco,8,0.5,True,False,203.1
C1,freshco,9,1.0,True,True,212.8
C1,freshco,9,0.5,True,False,199.2
C1,freshco,10,1.0,True,True,203.4
C1,freshco,10,0.5,False,True,180.3
C1,freshco,11,1.0,True,True,169.5
C1,freshco,12,1.0,True,True,204.4
C1,freshco,13,1.0,True,True,224.7
C1,freshco,14,1.0,True,True,165.2
C1,freshco,15,1.0,True,True,182.5
C1,freshco,16,0.5,False,True,243.4
C1,freshco,17,1.0,True,True,196.2
C1,freshco,18,0.5,False,True,216.6
C1,freshco,19,0.0,False,False,203.5
C1,freshco,20,0.5,True,False,171.5
C1,freshco,21,0.5,False,True,243.1
C1,freshco,22,0.0,False,False,215.0
C1,freshco,23,0.0,False,False,139.0
C1,freshco,24,0.5,False,True,178.8
C1,freshco,25,1.0,True,True,245.2
C1,freshco,26,0.5,False,True,184.7
C1,freshco,27,0.0,False,False,150.1
C1,freshco,28,0.0,False,False,197.7
C1,freshco,29,0.5,True,False,214.7
C1,freshco,30,0.5,True,False,209.1
C1,greenleaf,1,1.0,True,True,208.2
C1,greenleaf,1,0.5,True,False,209.6
C1,greenleaf,1,0.5,True,False,314.9
C1,greenleaf,2,1.0,True,True,201.0
C1,greenleaf,2,1.0,True,True,230.1
C1,greenleaf,2,1.0,True,True,301.3
